key,SK
50edf1bb01f965f14bee7527c3bed42f,92338
91489087a2f86dd3476f0d949946aea2,92339
0d2ff29c36a65d389738620aa2f4e145,92340
41e9548a0f8a774ff63837fa26f9839d,92341
2acdf2f6aadbbfede01eccc71529cdb1,92342
6cd0ab1128ac257e65a2ff5e7b8da810,92343
8ea19bb36a76ba5761524ef17ba268e7,92344
17acafdbb192d45b5d7f4c8ae536bd0b,92345
b7d75a382d48af7918464a319d6b5587,92346
39e80f37ce682233db7e2474fcdcdcdd,92347
bf391aa5a48fbaee55092f1993be3926,92348
60737004a5ba9b76bd54988608ff46fe,92349
b8f26e9e2db5ca6ecf0223a40994e02b,92350
9e226cfa83b3ebd7c9aa0650697ecce2,92351
513f24c01c5b22fe1b97bb2ff08f1808,92352
d561b165e65a10cc1e1b0540793d9765,92353
c74f90c33e410e49b09295977ad0e632,92354
f02997f50d14ca353efc7da32d363a8d,92355
8e84900e687c4174501c7731e63f09c5,92356
f8d12036818f22bd2f2fcbec27b9e6a6,92357
c86b9d401a0061cb8eedd4bd55633b77,92358
446178189afff5d8bc533ad62ccde8e4,92359
c30b73483ee7bbfaf54085bd3aec4c9d,92360
8943a458333bbd18bea687184981d0c0,92361
21da586f15d2ef58e078fcaf93531052,92362
8915665d20d98e8f92b724593bd3297b,92363
08d04bb6463edf9dfe9d9ec2f066614c,92364
487583258b019590638622dd1f4d6e14,92365
44c880d8fd29bf9ead60d49adfa11c25,92366
15e61b14dbefc4eff85195e9f2f056a5,92367
4e00fe683e7c8bf30fbd92bbac680fb3,92368
da967083abbec2737a518bad144f320d,92369
89e0983a7d1dae20be198c11c8e0251d,92370
86cbec283637b077fd976d1696a19c0d,92371
960b33a48965dbe311329af76f4aa70f,92372
ee4dac4fe4d15f708ce54254ab5c6bb2,92373
36a80398a8d7c60932411d45ca20c4b6,92374
da8904f0f0d5fb9bd191b004bac41757,92375
d36ce7c3037a8087bee53db85b419b30,92376
030257ba7c48ae61d88268f4c4abe59b,92377
6dce9fbed8fea7b86fa55d91cb8a30b4,92378
a4d021990afaaa8e7c8c41f9fe72d7ed,92379
7f19d565d956cc2fe3f01a860e841ae4,92380
84ef5497383627f1b47471d44483df53,92381
9e0c8cfab7bdb0ba76c418336f94c865,92382
1145efd0cc4b891ba7df8d75f1530ec0,92383
716dcf823064b69da58ba0509eb96b1e,92384
cc8f3ef9071478290745b2460abfe9b7,92385
6c6f666712e739bb6761a8baa3676dfe,92386
2640d4ae56b6b352fa74a9acfddf0708,92387
24c8bb9a3191c563c780d12251f1b8ba,92388
aa797b187b5466bc6925aaaa4bb3bed1,92389
64753b1a0fc722c90632f9d9fb9d670d,92390
3208272b8e9b21b56d16be9ec8d03b0a,92391
507fd1858c4a4323ba84d2d884273832,92392
c2d27c09116a37f13666a80b5351140e,92393
0423a0c4b6eea9435c2f40758658a2d4,92394
14e02ed12bffbb5f509fa3010586dc88,92395
ccafbef5836bb3f6604cd55c75d54b4b,92396
64a7f1076e9d17d6f5208d3ce76a7eb8,92397
9e7e855c875c273112820c0eb1c836b6,92398
8a2e7ef9053dea531e4dc76bd6d853e6,92399
c99b0302e515be98bb31ac972f1d9379,92400
c7858f425c53bf289b58bbca491fdfb6,92401
9ec0c5bb4f39470f0198f148f4a8943f,92402
d39b36bae7de866a9bbb376d2b42b96d,92403
9e4e0a6bcb1f18dde9f42bf20dc4383d,92404
cce59bef65abed82362de9db845b005d,92405
c561230659c12a017bdb3a60786bc97a,92406
a9c9705c8059a3dc99fa74cd40e65fa0,92407
e6c1524bfeec6ab7722d1ac3a85c4fcd,92408
d30990aa307dd48e6e9a054b87372fca,92409
bed634711aadd752f21d3bd8b2dcd9c1,92410
bbaa6c0f40859886b427b32cf4bb73d8,92411
9b7aa0e1f05724c044ec8e57d7dd912a,92412
5fef5cebc61defff53af91f665b3913d,92413
ba7414163652126c43ce52deef540a4a,92414
fc40eaabc96c9f4d6c84ecacb8c95966,92415
8d117567c56145436df4b0472ddffa62,92416
6ee6a13ac4b3e616824015be6ddc5977,92417
3328aef5f5f9e3ab64e01691eedaebaf,92418
f621964af9a78f72764c33882820e953,92419
cb8855bae6bea36802fe3e297ea4bcf2,92420
d67be65466afe0ff78ab3b609c55dc51,92421
d23df2c6c3e51d875f458d123b2b3c90,92422
cb38837f9b2d114a6f916ce7a46a7120,92423
d436a01cbfaa1bc15ecd84318b408a01,92424
033f5ddbb536a477e81abd786f23f452,92425
44116229bacbe481f496fbf77059a987,92426
b6b56e9f292d6bee01d74ee5dd2e4b73,92427
dad91823e2eeed77b5d7972cc652440b,92428
259f937f627731078e955050df3907f5,92429
18ea52dddd0eb6548f78b6a3545ed9a6,92430
4805d62fe2ec69e4290d0ebc213f34d5,92431
d8eaea841567412b155813300cfa7083,92432
59cc3f57e343e37c2f7bef644fe6256a,92433
e74208f5cce1258bbbb9a55463f0d37a,92434
e5dc4f88a7ccf6b7d45b187c661a7343,92435
ac2d501a519f765a4b944b5142a19a33,92436
820f96a3ab9a4eb666f03d086440d610,92437
9089a76b103deefa3d0edf02bf06ff7b,92438
37f46c48ce060bb1a77065a5d8672ba3,92439
6173b3b1c87bc8c813683822b06149b2,92440
a0522bb0aa2334c442b05fe4c48eafa4,92441
fb413491947c3cdaa43ee5a05f1074fb,92442
0d007bf3edacf8f9b4cf26e3065cb95c,92443
b2bee6fc26529d1c24a385b8632a5409,92444
a31e9efdd03a113a21348ab6843d7e3e,92445
8b248b11dba02be9728a5a80ab3f4081,92446
570f691879071b176cf72fd133287711,92447
00046a560d407e99b969756e0b10f282,92448
8af426a6bfdde9b527d94404d0fe613f,92449
10595804cffb2dbf2c9dacca0008817b,92450
7cf8db542b84bb0d46c06c5679b50e02,92451
6104d6344ed5ffa39c84b3800921f443,92452
2cbf6cb02acabd657570f14141006bd0,92453
fbbca623fd2ed0a30fd87061b46980d5,92454
03e82ff4feec050581d548f628bb4490,92455
a8a72553d270066753aae3e20a8d035f,92456
77c6c090276d77c5c20d52a14a05dd21,92457
d36ad67e31081649d98206e542b056fb,92458
f969f3f292317381d94b67fd9dc40d61,92459
0eb1f7243ce47d7b87fd0615123732b8,92460
ff6b00a007b6c413a1106354f2588a07,92461
66a597c062ebee2684c57b26d28fc551,92462
