key,SK
12309,276143
12350,276144
12312,276145
12305,276146
12305,276147
12301,276148
12308,276149
12302,276150
12305,276151
12328,276152
12306,276153
12325,276154
12312,276155
12320,276156
12328,276157
12329,276158
12327,276159
12305,276160
12301,276161
12322,276162
12315,276163
12309,276164
12306,276165
12350,276166
12320,276167
12328,276168
12308,276169
12328,276170
12328,276171
12327,276172
12308,276173
12325,276174
12315,276175
12302,276176
12324,276177
12327,276178
12311,276179
12308,276180
12328,276181
12309,276182
12327,276183
12308,276184
12328,276185
12320,276186
12327,276187
12350,276188
12324,276189
12302,276190
12320,276191
12306,276192
12305,276193
12321,276194
12306,276195
12301,276196
12309,276197
12327,276198
12312,276199
12320,276200
12309,276201
12315,276202
12322,276203
12308,276204
12316,276205
12306,276206
12350,276207
12380,276208
12311,276209
12324,276210
12380,276211
12324,276212
12305,276213
12320,276214
12327,276215
12322,276216
12334,276217
12327,276218
12301,276219
12305,276220
12305,276221
12320,276222
12327,276223
12322,276224
12380,276225
12308,276226
12307,276227
12328,276228
12305,276229
12380,276230
12301,276231
12308,276232
12334,276233
12318,276234
12321,276235
12310,276236
12318,276237
12327,276238
12328,276239
12327,276240
12380,276241
12305,276242
12328,276243
12327,276244
12320,276245
12306,276246
12302,276247
12311,276248
12328,276249
12309,276250
12335,276251
12380,276252
12327,276253
12306,276254
12327,276255
12328,276256
12380,276257
12308,276258
12312,276259
12308,276260
12319,276261
12306,276262
12380,276263
12307,276264
12335,276265
12310,276266
12380,276267
12305,276268
12310,276269
12328,276270
12335,276271
12305,276272
12301,276273
12306,276274
12305,276275
12327,276276
12305,276277
12320,276278
12335,276279
12322,276280
12327,276281
12306,276282
12308,276283
12318,276284
12325,276285
12305,276286
12324,276287
12320,276288
12309,276289
12327,276290
12305,276291
12380,276292
12320,276293
12328,276294
12312,276295
12321,276296
12301,276297
12325,276298
12350,276299
12312,276300
12311,276301
12305,276302
12308,276303
12316,276304
12333,276305
12350,276306
12324,276307
12318,276308
12308,276309
12308,276310
12306,276311
12312,276312
12333,276313
12316,276314
12327,276315
12308,276316
12323,276317
12350,276318
12327,276319
12306,276320
12301,276321
12308,276322
12320,276323
12323,276324
12380,276325
12315,276326
12310,276327
12328,276328
12311,276329
12301,276330
12318,276331
12321,276332
12327,276333
12350,276334
12327,276335
12320,276336
12328,276337
12316,276338
12328,276339
12320,276340
12305,276341
12320,276342
12324,276343
12308,276344
12327,276345
12319,276346
12301,276347
12324,276348
12308,276349
12312,276350
12325,276351
12350,276352
12311,276353
12305,276354
12301,276355
12327,276356
12329,276357
12307,276358
12315,276359
12306,276360
12328,276361
12331,276362
12328,276363
12350,276364
12312,276365
12350,276366
12327,276367
12306,276368
12309,276369
12302,276370
12327,276371
12327,276372
12327,276373
12324,276374
12306,276375
12350,276376
12306,276377
12380,276378
12328,276379
12301,276380
12305,276381
12340,276382
12305,276383
12301,276384
12350,276385
12328,276386
12307,276387
12327,276388
12307,276389
12308,276390
12323,276391
12311,276392
12321,276393
12327,276394
12328,276395
12312,276396
12318,276397
12315,276398
12307,276399
12325,276400
12322,276401
12327,276402
12306,276403
12322,276404
12315,276405
12324,276406
12307,276407
12328,276408
12412,276409
12490,276410
12400,276411
12412,276412
12412,276413
12443,276414
12460,276415
12410,276416
12490,276417
12422,276418
12446,276419
12422,276420
12422,276421
12403,276422
12400,276423
12410,276424
12411,276425
12422,276426
12412,276427
12490,276428
12402,276429
12490,276430
12403,276431
12445,276432
12446,276433
12403,276434
12445,276435
12422,276436
12460,276437
12460,276438
12422,276439
12422,276440
12446,276441
12490,276442
12412,276443
12411,276444
12412,276445
12460,276446
12404,276447
12425,276448
12450,276449
12400,276450
12460,276451
12415,276452
12410,276453
12421,276454
12446,276455
12441,276456
12412,276457
12425,276458
12422,276459
12402,276460
12443,276461
12490,276462
12460,276463
12460,276464
12402,276465
12460,276466
12414,276467
12460,276468
12460,276469
12444,276470
12410,276471
12403,276472
12460,276473
12460,276474
12490,276475
12460,276476
12402,276477
12412,276478
12402,276479
12400,276480
12402,276481
12403,276482
12424,276483
12460,276484
12422,276485
12402,276486
12413,276487
12403,276488
12460,276489
12414,276490
12446,276491
12414,276492
12400,276493
12421,276494
12425,276495
12460,276496
12402,276497
12460,276498
12412,276499
12460,276500
12460,276501
12460,276502
12440,276503
12414,276504
12410,276505
12422,276506
12440,276507
12410,276508
12440,276509
12460,276510
12460,276511
12460,276512
12445,276513
12460,276514
12460,276515
12410,276516
12400,276517
12410,276518
12412,276519
12460,276520
12400,276521
12460,276522
12460,276523
12400,276524
12400,276525
12424,276526
12443,276527
12460,276528
12460,276529
12460,276530
12460,276531
12403,276532
12403,276533
12460,276534
12402,276535
12460,276536
12450,276537
12403,276538
12421,276539
12420,276540
12460,276541
12460,276542
12460,276543
12403,276544
12460,276545
12424,276546
12421,276547
12450,276548
12403,276549
12460,276550
12414,276551
12440,276552
12412,276553
12421,276554
12422,276555
12440,276556
12422,276557
12420,276558
12460,276559
12460,276560
12440,276561
12450,276562
12460,276563
12413,276564
12460,276565
12440,276566
12460,276567
12420,276568
12460,276569
12405,276570
12445,276571
12460,276572
12460,276573
12460,276574
12460,276575
12400,276576
12460,276577
12460,276578
12423,276579
12460,276580
12401,276581
12460,276582
12412,276583
12402,276584
12425,276585
12422,276586
12460,276587
12422,276588
12460,276589
12410,276590
12410,276591
12460,276592
12460,276593
12490,276594
12443,276595
12444,276596
12401,276597
12460,276598
12440,276599
12423,276600
12443,276601
12442,276602
12460,276603
12420,276604
12444,276605
12441,276606
12460,276607
12450,276608
12400,276609
12405,276610
12424,276611
12460,276612
12421,276613
12424,276614
12460,276615
