key,SK
30240,546359
30240,546360
30240,546361
30220,546362
30295,546363
30240,546364
30260,546365
30260,546366
30285,546367
30240,546368
30230,546369
30240,546370
30295,546371
30285,546372
30260,546373
30240,546374
30270,546375
30220,546376
30285,546377
30220,546378
30285,546379
30240,546380
30285,546381
30240,546382
30240,546383
30285,546384
30290,546385
30220,546386
30240,546387
30280,546388
30240,546389
30240,546390
30260,546391
30280,546392
30260,546393
30220,546394
30220,546395
30290,546396
30270,546397
30250,546398
30240,546399
30270,546400
30240,546401
30240,546402
30240,546403
30270,546404
30220,546405
30240,546406
30220,546407
30220,546408
30240,546409
30240,546410
30210,546411
30270,546412
30220,546413
30210,546414
30260,546415
30240,546416
30280,546417
30285,546418
30285,546419
30270,546420
30240,546421
30240,546422
30260,546423
30240,546424
30260,546425
30240,546426
30220,546427
30260,546428
30240,546429
30260,546430
30220,546431
30285,546432
30280,546433
30210,546434
30270,546435
30240,546436
30220,546437
30285,546438
30220,546439
30260,546440
30280,546441
30260,546442
30240,546443
30240,546444
30280,546445
30285,546446
30240,546447
30220,546448
30240,546449
30280,546450
30210,546451
30290,546452
30270,546453
30280,546454
30285,546455
30220,546456
30240,546457
30210,546458
30240,546459
30280,546460
30260,546461
30240,546462
30220,546463
30285,546464
30240,546465
30230,546466
30250,546467
30220,546468
30240,546469
30220,546470
30220,546471
30220,546472
30285,546473
30285,546474
30280,546475
30285,546476
30270,546477
30260,546478
30270,546479
30210,546480
30285,546481
30280,546482
30210,546483
30295,546484
30286,546485
30240,546486
30285,546487
30285,546488
30280,546489
30220,546490
30290,546491
30240,546492
30220,546493
30210,546494
30280,546495
30260,546496
30220,546497
30220,546498
30220,546499
30240,546500
30280,546501
30260,546502
30240,546503
30270,546504
30240,546505
30210,546506
30220,546507
30285,546508
30220,546509
30270,546510
30220,546511
30220,546512
30240,546513
30260,546514
30240,546515
30240,546516
30240,546517
30270,546518
30220,546519
30240,546520
30285,546521
30240,546522
30285,546523
30220,546524
30220,546525
30240,546526
30240,546527
30210,546528
30270,546529
30240,546530
30285,546531
