key,SK
86730,889788
86700,889789
86701,889790
86703,889791
86730,889792
86700,889793
86790,889794
86708,889795
86701,889796
86744,889797
86770,889798
86700,889799
86770,889800
86730,889801
86701,889802
86707,889803
86770,889804
86701,889805
86705,889806
86770,889807
86708,889808
86701,889809
86716,889810
86760,889811
86730,889812
86730,889813
86730,889814
86700,889815
86709,889816
86700,889817
86709,889818
86730,889819
86780,889820
86790,889821
86701,889822
86705,889823
86730,889824
86755,889825
86703,889826
86770,889827
86705,889828
86780,889829
86760,889830
86701,889831
86770,889832
86760,889833
86716,889834
86703,889835
86700,889836
86707,889837
86700,889838
86750,889839
86730,889840
86790,889841
86770,889842
86730,889843
86700,889844
86730,889845
86742,889846
86708,889847
86760,889848
86703,889849
86702,889850
86700,889851
86750,889852
86700,889853
86709,889854
86701,889855
86703,889856
86706,889857
86701,889858
86750,889859
86750,889860
86706,889861
86701,889862
86770,889863
86703,889864
86701,889865
86730,889866
86790,889867
86705,889868
86730,889869
86707,889870
86702,889871
86770,889872
86702,889873
86706,889874
86730,889875
86790,889876
86770,889877
86703,889878
86706,889879
86730,889880
86707,889881
86760,889882
86730,889883
86702,889884
86780,889885
86703,889886
86750,889887
86780,889888
86703,889889
86704,889890
86700,889891
86707,889892
86770,889893
86780,889894
86702,889895
86703,889896
86701,889897
86710,889898
86700,889899
86730,889900
86704,889901
86760,889902
86730,889903
86720,889904
86706,889905
86706,889906
86730,889907
86702,889908
86706,889909
86780,889910
86703,889911
86730,889912
86705,889913
86707,889914
86770,889915
86730,889916
86770,889917
86701,889918
86700,889919
86720,889920
86790,889921
86700,889922
86702,889923
86709,889924
86707,889925
86709,889926
86730,889927
86780,889928
86708,889929
86708,889930
86702,889931
86700,889932
86770,889933
86702,889934
86770,889935
86709,889936
86730,889937
86702,889938
86770,889939
86703,889940
86709,889941
86702,889942
86700,889943
86708,889944
86703,889945
86750,889946
86730,889947
86709,889948
86701,889949
86770,889950
86703,889951
86702,889952
86702,889953
86770,889954
86770,889955
86790,889956
86705,889957
86707,889958
86790,889959
86706,889960
86709,889961
86708,889962
86750,889963
86705,889964
86706,889965
86708,889966
86706,889967
86780,889968
86709,889969
86730,889970
86707,889971
86707,889972
86702,889973
86707,889974
86770,889975
86730,889976
86790,889977
