SK_CUSTOMER,ID_CUSTOMER,COD_ZIP,DES_CITY,COD_STATE
1,06b8999e2fba1a1fbc88172c00ba8bc7,14409,Franca,SP
2,18955e83d337fd6b2def6b18a428ac77,09790,Sao Bernardo Do Campo,SP
3,4e7b3e00288586ebd08712fdd0374a03,01151,Sao Paulo,SP
4,b2b6027bc5c5109e529d4dc6358b12c3,08775,Mogi Das Cruzes,SP
5,4f2d8ab171c80ec8364f7c12e35b23ad,13056,Campinas,SP
6,879864dab9bc3047522c92c82e1212b8,89254,Jaragua Do Sul,SC
7,fd826e7cf63160e536e0908c76c3f441,04534,Sao Paulo,SP
8,5e274e7a0c3809e14aba7ad5aae0d407,35182,Timoteo,MG
9,5adf08e34b2e993982a47070956c5c65,81560,Curitiba,PR
10,4b7139f34592b3a31687243a302fa75b,30575,Belo Horizonte,MG
11,9fb35e4ed6f0a14a4977cd9aea4042bb,39400,Montes Claros,MG
12,5aa9e4fdd4dfd20959cad2d772509598,20231,Rio De Janeiro,RJ
13,b2d1536598b73a9abd18e0d75d92f0a3,18682,Lencois Paulista,SP
14,eabebad39a88bb6f5b52376faec28612,05704,Sao Paulo,SP
15,1f1c7bf1c9b041b292af6c1c4470b753,95110,Caxias Do Sul,RS
16,206f3129c0e4d7d0b9550426023f0a08,13412,Piracicaba,SP
17,a7c125a0a07b75146167b7f04a7f8e98,22750,Rio De Janeiro,RJ
18,c5c61596a3b6bd0cee5766992c48a9a1,07124,Guarulhos,SP
19,9b8ce803689b3562defaad4613ef426f,05416,Sao Paulo,SP
20,49d0ea0986edde72da777f15456a0ee0,68485,Pacaja,PA
21,154c4ded6991bdfa3cd249d11abf4130,88034,Florianopolis,SC
22,690172ab319622688d3b4df42f676898,74914,Aparecida De Goiania,GO
23,2938121a40a20953c43caa8c98787fcb,05713,Sao Paulo,SP
24,237098a64674ae89babdc426746260fc,82820,Curitiba,PR
25,cb721d7b4f271fd87011c4c83462c076,08225,Sao Paulo,SP
26,f681356046d9fde60e70c73a18d65ea2,09121,Santo Andre,SP
27,167bd30a409e3e4127df5a9408ebd394,74310,Goiania,GO
28,6e359a57a91f84095cc64e1b351aef8c,04571,Sao Paulo,SP
29,e0eea8f69a457b3f1fa246e44c9ebefd,29311,Cachoeiro De Itapemirim,ES
30,e3109970a3fe8021d5ff82c577ce5606,05528,Sao Paulo,SP
31,261cb4f92498ca05d5bd1a327a261d9c,12235,Sao Jose Dos Campos,SP
32,6f92779347724b67e44e3224f3b4cffd,18130,Sao Roque,SP
33,2d5831cb2dff7cdefba62e950ae3dc7b,42800,Camacari,BA
34,b2bed119388167a954382cca36c4777f,27525,Resende,RJ
35,469634941c27cd844170935a3cf60b95,81750,Curitiba,PR
36,df0aa5b8586495e0ddf6b601122e43a1,13175,Sumare,SP
37,41c8f4b570869791379a925899a6af8a,07170,Guarulhos,SP
38,54f755c3fd2709231f9964a1430c5218,93415,Novo Hamburgo,RS
39,4c06b42fbf7b97ab10779cda5549cd1c,65075,Sao Luis,MA
40,b6368ca0f56d4632f44d58ca431487b2,88104,Sao Jose,SC
41,4a0e66fd30684aa1409cd1b66fec77cc,07176,Guarulhos,SP
42,c168abb9077b7821adae01dc1f0886c5,35960,Santa Barbara,MG
43,a3b0fda37bae14cf754877bed475e80c,05727,Sao Paulo,SP
44,0ccd415657ae8a6cd1c71b00155a019e,07053,Guarulhos,SP
45,c532a74a3ebf1bacce2e2bcce3783317,14026,Ribeirao Preto,SP
46,19cecb194f54e614b70d971306a9931b,30320,Belo Horizonte,MG
47,f34a6e874087ec1f0e3dab9fdf659c5d,38300,Ituiutaba,MG
48,c132855c926907970dcf6f2bf0b33a24,18740,Taquarituba,SP
49,df85b96ba2ce3e49bde101b1614f52ac,83085,Sao Jose Dos Pinhais,PR
50,4d27341acd30a36bca39008ee9bb9050,89254,Jaragua Do Sul,SC
51,d3b6830d18c7de943d1e707d1f061d40,05351,Sao Paulo,SP
52,79de53946db384e2d7a9bd131792ad17,39406,Montes Claros,MG
53,a562ab1e728449e3461829dfe2e36f73,14860,Barrinha,SP
54,b64ed91eab98972150bdaf77ca921934,21310,Rio De Janeiro,RJ
55,8247b5583327ab8be19f96e1fb82f77b,23970,Parati,RJ
56,8fcaa9368903f3a9a28aeaff28c14638,79804,Dourados,MS
57,a9b0d1c26105279e1b8edc63d06bd668,05017,Sao Paulo,SP
58,aa9f03ecd3728c9bd12e6d962c66c7cb,75388,Trindade,GO
59,230c0d740401730c7197d16376893525,85808,Cascavel,PR
60,a905baa530258422594f1b05615bd225,60140,Fortaleza,CE
61,4fa19f7da692e6bf9602aaad3c372eda,72270,Brasilia,DF
62,03f846ad03437d864a8d2a22976dcafe,02075,Sao Paulo,SP
63,de4e13fd7d6469c5ada77d0843c55e42,96015,Pelotas,RS
64,8276de07ef25225d412b8462d73f8664,90010,Porto Alegre,RS
65,cc32707d2e2f7c92ab449f9b28154809,22440,Rio De Janeiro,RJ
66,a02f66c3af7b16eec19ddcd98b645fe3,13323,Salto,SP
67,26acee41e2f75689a5615892f06ea0bd,30190,Belo Horizonte,MG
68,f64cdee66599119324ce57a97e43700d,13212,Jundiai,SP
69,7ab7a537b678b6dd73d825ff6ee7be9d,29307,Cachoeiro De Itapemirim,ES
70,7300450cedf7e4c35c243c4a03c1e8a6,12280,Cacapava,SP
71,4c7241af24b5344cb01fe687643de4fe,60336,Fortaleza,CE
72,97e126f19a6f04b3462619f36862bcd2,11310,Sao Vicente,SP
73,6d27a9361e591da38c87a5e70253f3f2,38408,Uberlandia,MG
74,6810c3dc47f641181fcc7f73275c3d19,37720,Botelhos,MG
75,b514422efcf14bef34858a0829bef189,24431,Sao Goncalo,RJ
76,0aae2862f8eac77f10a34f44860720ac,05890,Sao Paulo,SP
77,6c9a5923526346cbc0bd7bbd92269c01,03733,Sao Paulo,SP
