SK_CUSTOMER,ID_CUSTOMER,COD_ZIP,DES_CITY,COD_STATE
92338,50edf1bb01f965f14bee7527c3bed42f,27195,Santanesia,RJ
92339,91489087a2f86dd3476f0d949946aea2,06112,Osasco,SP
92340,0d2ff29c36a65d389738620aa2f4e145,13418,Piracicaba,SP
92341,41e9548a0f8a774ff63837fa26f9839d,05019,Sao Paulo,SP
92342,2acdf2f6aadbbfede01eccc71529cdb1,96300,Jaguarao,RS
92343,6cd0ab1128ac257e65a2ff5e7b8da810,85867,Foz Do Iguacu,PR
92344,8ea19bb36a76ba5761524ef17ba268e7,64006,Teresina,PI
92345,17acafdbb192d45b5d7f4c8ae536bd0b,13412,Piracicaba,SP
92346,b7d75a382d48af7918464a319d6b5587,37590,Jacutinga,MG
92347,39e80f37ce682233db7e2474fcdcdcdd,14730,Monte Azul Paulista,SP
92348,bf391aa5a48fbaee55092f1993be3926,65735,Capinzal Do Norte,MA
92349,60737004a5ba9b76bd54988608ff46fe,29163,Serra,ES
92350,b8f26e9e2db5ca6ecf0223a40994e02b,21555,Rio De Janeiro,RJ
92351,9e226cfa83b3ebd7c9aa0650697ecce2,21740,Rio De Janeiro,RJ
92352,513f24c01c5b22fe1b97bb2ff08f1808,02227,Sao Paulo,SP
92353,d561b165e65a10cc1e1b0540793d9765,15035,Sao Jose Do Rio Preto,SP
92354,c74f90c33e410e49b09295977ad0e632,02443,Sao Paulo,SP
92355,f02997f50d14ca353efc7da32d363a8d,94930,Cachoeirinha,RS
92356,8e84900e687c4174501c7731e63f09c5,37190,Tres Pontas,MG
92357,f8d12036818f22bd2f2fcbec27b9e6a6,09910,Diadema,SP
92358,c86b9d401a0061cb8eedd4bd55633b77,11310,Sao Vicente,SP
92359,446178189afff5d8bc533ad62ccde8e4,18074,Sorocaba,SP
92360,c30b73483ee7bbfaf54085bd3aec4c9d,23575,Rio De Janeiro,RJ
92361,8943a458333bbd18bea687184981d0c0,13045,Campinas,SP
92362,21da586f15d2ef58e078fcaf93531052,49032,Aracaju,SE
92363,8915665d20d98e8f92b724593bd3297b,01122,Sao Paulo,SP
92364,08d04bb6463edf9dfe9d9ec2f066614c,07952,Francisco Morato,SP
92365,487583258b019590638622dd1f4d6e14,63800,Quixeramobim,CE
92366,44c880d8fd29bf9ead60d49adfa11c25,37190,Tres Pontas,MG
