SK_ORDER,SK_CUSTOMER,ID_ORDER,ORD_STATUS,DAT_PURCHASE,DAT_APPROVED,DAT_SHIPPED,DAT_DELIVERED,DAT_ESTIMATED_DELIVERY
94497,84673,20f00734b9cedbed78661618c0deb7fd,delivered,2018-03-30T18:06:39.000Z,2018-03-30T18:50:21.000Z,2018-04-04T23:36:53.000Z,2018-04-16T21:18:32.000Z,2018-04-18T00:00:00.000Z
94498,42933,7042e0877cfb1a8fb8e4293126dae9f3,delivered,2018-08-19T15:50:13.000Z,2018-08-20T12:12:14.000Z,2018-08-20T14:32:00.000Z,2018-08-24T12:32:56.000Z,2018-09-06T00:00:00.000Z
94499,62838,e6db6e9529fecbe14cd05dd349816656,delivered,2017-01-06T21:27:49.000Z,2017-01-06T21:35:20.000Z,2017-01-09T12:08:34.000Z,2017-01-13T13:57:29.000Z,2017-02-20T00:00:00.000Z
94500,32558,9797fc9d23d5187db0924184bc5cca44,delivered,2018-08-23T12:30:52.000Z,2018-08-23T12:45:17.000Z,2018-08-24T17:34:00.000Z,2018-08-27T15:22:10.000Z,2018-08-28T00:00:00.000Z
94501,26282,fad4c51261e06a0f8a2309ee81747628,delivered,2018-03-19T11:23:31.000Z,2018-03-19T11:35:35.000Z,2018-03-19T22:38:42.000Z,2018-04-09T21:22:47.000Z,2018-04-05T00:00:00.000Z
94502,74037,dba8b25261a1f7f5e1f32b1203796812,delivered,2017-04-28T15:06:58.000Z,2017-04-28T15:15:17.000Z,2017-05-04T15:38:47.000Z,2017-05-19T10:44:39.000Z,2017-06-06T00:00:00.000Z
94503,97546,8b5a4b2799bee31ca06187259aea4da5,delivered,2018-08-09T19:53:41.000Z,2018-08-09T20:05:16.000Z,2018-08-10T15:50:00.000Z,2018-08-13T20:03:31.000Z,2018-08-21T00:00:00.000Z
94504,63682,0b555f0e6493540531a30e6cf25fb030,delivered,2017-05-25T10:43:21.000Z,2017-05-25T10:55:17.000Z,2017-05-26T10:30:12.000Z,2017-05-30T16:37:45.000Z,2017-06-21T00:00:00.000Z
94505,47473,4436eb8a73f08dc5c4ba8b1e5b96d290,delivered,2017-08-16T23:47:01.000Z,2017-08-17T02:12:13.000Z,2017-08-17T19:35:35.000Z,2017-08-21T19:17:33.000Z,2017-09-06T00:00:00.000Z
94506,35991,4f11c536ca6b0a28ea1c7583d6a5df63,delivered,2018-05-16T09:45:25.000Z,2018-05-16T09:57:28.000Z,2018-06-05T11:41:00.000Z,2018-06-14T14:58:38.000Z,2018-07-03T00:00:00.000Z
94507,90705,d5e892687c8916b17cafe284780d01b0,delivered,2017-09-08T15:48:57.000Z,2017-09-08T16:04:48.000Z,2017-09-11T22:10:02.000Z,2017-09-18T17:37:36.000Z,2017-10-02T00:00:00.000Z
94508,49775,9559e0b00c67d159a266152428f85615,delivered,2017-01-30T10:47:14.000Z,2017-01-30T11:31:06.000Z,2017-02-01T13:57:49.000Z,2017-02-07T10:32:44.000Z,2017-03-03T00:00:00.000Z
94509,14656,0b602fa35e64e463c90698d2e859af54,delivered,2018-03-22T22:13:59.000Z,2018-03-24T02:28:34.000Z,2018-03-26T19:58:55.000Z,2018-03-27T14:14:51.000Z,2018-04-11T00:00:00.000Z
94510,5339,98161ce1b4bbf1427395e740ec410ebe,delivered,2018-06-07T20:30:06.000Z,2018-06-07T20:55:15.000Z,2018-06-08T14:40:00.000Z,2018-06-14T20:46:53.000Z,2018-07-04T00:00:00.000Z
94511,63192,13b4f8c4b570d25d95bfd3c915ed9c38,delivered,2018-01-27T16:50:21.000Z,2018-01-30T04:31:17.000Z,2018-01-30T23:26:31.000Z,2018-03-14T15:43:38.000Z,2018-03-09T00:00:00.000Z
