SK_ORDER,SK_PRODUCT,SK_SELLER,NUM_ORDER_ITEM,DAT_SHIPPING_LIMIT,VAL_PRICE,VAL_FREIGHT
34740,6176,2507,2,2017-10-02T16:15:08.000Z,106.99,17.25
15492,9783,1609,1,2018-05-02T02:15:20.000Z,129.89,9.26
1349,12967,1932,1,2017-04-18T02:45:21.000Z,18.16,14.52
48543,30874,591,1,2017-11-30T17:20:33.000Z,106.00,20.23
67628,6041,836,1,2017-08-25T19:25:17.000Z,61.00,9.34
11512,7934,1737,1,2018-06-21T20:58:10.000Z,109.90,19.96
71135,31245,2652,1,2018-08-08T17:05:20.000Z,29.99,7.47
50472,27904,1591,1,2018-07-20T04:32:36.000Z,159.00,40.26
25089,17396,2463,1,2018-04-04T09:15:12.000Z,227.88,86.66
98618,24943,1893,1,2017-08-17T16:35:20.000Z,74.00,12.86
53707,27179,1167,1,2017-09-19T23:30:11.000Z,137.40,12.17
28591,28686,383,1,2017-08-11T16:43:45.000Z,14.90,15.10
67406,14052,475,1,2017-10-13T17:28:18.000Z,59.90,17.67
67406,14052,475,2,2017-10-13T17:28:18.000Z,59.90,17.67
67406,14052,475,3,2017-10-13T17:28:18.000Z,59.90,17.67
21783,27685,798,1,2017-06-15T19:15:16.000Z,49.00,15.10
74356,10923,1817,1,2017-06-28T22:05:16.000Z,254.90,19.06
60720,4080,1825,1,2017-11-06T15:46:14.000Z,149.00,20.09
60720,22625,1825,2,2017-11-06T15:46:14.000Z,199.00,20.08
38560,22396,2962,1,2018-01-09T13:52:33.000Z,138.50,12.92
7043,952,2208,1,2017-05-17T04:05:22.000Z,199.99,29.80
13413,1368,1886,1,2018-05-25T16:16:13.000Z,38.90,9.44
27325,3043,2730,1,2018-02-27T11:31:45.000Z,110.90,15.54
88025,14696,1536,1,2018-01-09T10:09:32.000Z,52.00,17.61
20887,26866,481,1,2018-02-15T01:15:35.000Z,79.90,26.88
70786,1273,286,1,2018-04-29T23:31:18.000Z,229.90,23.32
27953,5991,2851,1,2017-04-19T14:32:18.000Z,20.90,10.96
23867,19339,928,1,2018-01-24T09:31:25.000Z,80.00,19.80
75245,646,2851,1,2017-06-13T18:05:24.000Z,61.90,12.77
17468,21599,1402,1,2018-02-20T23:30:45.000Z,659.00,13.52
17468,21474,1402,2,2018-02-20T23:30:45.000Z,88.00,13.51
93040,11165,1266,1,2018-06-11T17:31:36.000Z,15.90,18.23
41601,22234,72,1,2017-10-18T17:07:00.000Z,22.99,7.78
79771,9937,2242,1,2018-03-23T07:50:42.000Z,914.65,24.28
4917,32147,2346,1,2017-10-02T01:00:14.000Z,79.00,13.57
46871,28335,1335,1,2018-05-09T23:35:19.000Z,24.98,7.39
54346,15353,1155,1,2018-01-19T15:16:40.000Z,229.90,9.19
50656,15008,2464,1,2017-01-12T09:35:14.000Z,68.90,15.69
11195,7580,3094,1,2017-04-04T14:02:41.000Z,27.00,24.84
11195,7580,3094,2,2017-04-04T14:02:41.000Z,27.00,24.84
46632,3948,2655,1,2018-02-26T06:47:09.000Z,86.00,24.91
20769,26112,988,1,2018-01-05T13:19:17.000Z,44.99,11.85
76964,24556,308,1,2017-11-27T02:50:29.000Z,23.99,11.85
57676,15399,243,1,2018-06-28T18:21:15.000Z,180.00,23.19
75639,19682,2521,1,2017-11-30T11:51:41.000Z,15.00,17.60
89598,12002,2464,1,2017-11-23T01:15:25.000Z,119.90,16.47
64439,29037,1816,1,2018-02-01T10:31:39.000Z,295.00,30.59
