SK_ORDER,SK_PRODUCT,SK_SELLER,NUM_ORDER_ITEM,DAT_SHIPPING_LIMIT,VAL_PRICE,VAL_FREIGHT
68705,17212,2208,1,2017-05-22T16:05:14.000Z,109.99,18.02
61760,16736,339,1,2017-03-15T14:09:17.000Z,109.99,8.27
61760,22127,339,2,2017-03-15T14:09:17.000Z,109.99,16.55
61760,5874,339,3,2017-03-15T14:09:17.000Z,259.99,21.01
61760,22127,339,4,2017-03-15T14:09:17.000Z,109.99,16.55
17313,22049,725,1,2018-06-28T04:58:48.000Z,65.99,11.48
45273,29194,2242,1,2017-12-14T10:10:48.000Z,599.65,18.95
26074,28362,201,1,2018-01-23T08:59:38.000Z,28.90,34.15
91087,21396,1904,1,2018-02-14T01:35:40.000Z,74.90,15.27
91087,21396,1904,2,2018-02-14T01:35:40.000Z,74.90,15.27
38669,3417,508,1,2018-04-26T15:31:29.000Z,195.20,39.66
65189,8,886,1,2017-12-01T11:35:41.000Z,9.99,21.96
65189,8,886,2,2017-12-01T11:35:41.000Z,9.99,21.96
65189,24600,2211,3,2017-12-01T11:35:41.000Z,10.99,2.20
65189,23935,2211,4,2017-12-01T11:35:41.000Z,10.99,8.79
65189,23935,2211,5,2017-12-01T11:35:41.000Z,10.99,8.79
59035,30939,2387,1,2017-12-01T01:37:24.000Z,59.00,14.16
41986,5962,2649,1,2017-08-25T11:46:34.000Z,69.90,20.98
48165,25555,2618,1,2018-04-16T00:15:59.000Z,156.00,18.97
7823,24011,1266,1,2018-03-13T13:11:00.000Z,22.90,18.23
896,14633,2071,1,2018-03-28T21:08:15.000Z,25.00,15.23
24679,24393,902,1,2017-12-06T15:37:30.000Z,235.90,18.93
48073,21550,2002,1,2017-03-20T16:32:40.000Z,26.90,14.11
94724,25484,1514,1,2017-12-12T07:13:55.000Z,64.90,13.47
64321,29124,1638,1,2018-03-29T16:15:27.000Z,69.90,14.29
15219,16018,1514,1,2017-05-23T18:42:20.000Z,129.90,14.66
68921,18026,1699,1,2018-02-26T19:47:45.000Z,59.90,16.18
58197,21151,1113,1,2018-08-23T04:49:52.000Z,148.00,8.30
34899,15561,2138,1,2018-06-19T19:54:55.000Z,102.80,9.07
65074,11510,2506,1,2017-12-12T09:55:49.000Z,89.90,15.38
39982,16997,2346,1,2018-01-04T23:32:40.000Z,89.00,17.87
3575,21072,243,1,2018-04-19T02:11:12.000Z,499.99,15.94
14117,12031,2400,1,2018-03-15T18:35:30.000Z,197.50,20.35
26316,21246,1466,1,2017-11-30T14:17:44.000Z,159.90,28.50
53306,24706,1639,1,2017-05-19T01:10:24.000Z,169.90,12.69
58793,25792,2583,1,2018-02-07T03:12:30.000Z,370.47,33.34
20031,30708,2747,1,2018-06-22T19:40:00.000Z,99.99,23.69
20031,30708,2747,2,2018-06-22T19:40:00.000Z,99.99,23.69
97084,4413,2956,1,2018-05-17T22:53:50.000Z,219.99,18.25
729,26623,2659,1,2018-07-19T21:35:17.000Z,67.99,25.60
62613,3255,798,1,2018-08-14T03:30:09.000Z,55.00,7.65
27277,28640,1133,1,2018-07-06T13:30:59.000Z,96.80,14.98
11229,1556,2208,1,2017-05-25T19:45:16.000Z,129.99,17.16
30474,23687,121,1,2017-05-11T21:34:50.000Z,75.00,27.00
46396,24051,550,1,2018-08-15T12:24:18.000Z,116.90,14.16
465,2968,2010,1,2017-01-29T15:47:27.000Z,21.00,6.25
465,21206,2010,2,2017-01-29T15:47:27.000Z,35.00,10.42
465,2968,2010,3,2017-01-29T15:47:27.000Z,21.00,6.25
465,21206,2010,4,2017-01-29T15:47:27.000Z,35.00,10.42
465,27376,2010,5,2017-01-29T15:47:27.000Z,28.00,8.34
465,27376,2010,6,2017-01-29T15:47:27.000Z,28.00,8.34
2510,23620,375,1,2017-11-30T10:56:54.000Z,74.90,14.27
93074,30124,1791,1,2018-05-04T19:52:13.000Z,39.90,7.87
4636,2360,1816,1,2018-04-26T11:54:44.000Z,99.90,31.35
72537,2759,391,1,2018-07-02T20:15:12.000Z,390.00,29.03
17904,18720,1882,1,2018-05-10T10:53:03.000Z,49.99,14.43
10196,18827,1583,1,2018-02-21T19:10:25.000Z,74.99,12.02
66594,7759,3076,1,2018-06-19T18:58:27.000Z,110.32,15.87
75982,10368,2777,1,2017-12-04T01:38:44.000Z,39.90,17.92
56735,7599,1414,1,2018-02-16T02:36:16.000Z,84.99,15.35
47805,27701,2721,1,2018-08-16T18:05:25.000Z,150.00,28.03
56317,14359,716,1,2017-11-29T22:54:08.000Z,37.90,7.78
56317,14359,716,2,2017-11-29T22:54:08.000Z,37.90,7.78
6838,5464,174,1,2018-03-22T19:05:26.000Z,30.50,14.16
95416,13445,77,1,2018-07-12T10:10:17.000Z,54.99,23.19
2137,12647,1967,1,2018-08-02T00:31:12.000Z,24.99,15.28
91912,15185,2071,1,2018-04-24T16:55:37.000Z,50.00,22.85
93584,7405,3027,1,2017-12-26T01:53:21.000Z,318.14,17.99
80950,29242,1264,1,2017-12-13T14:50:54.000Z,186.98,18.56
93491,17741,424,1,2018-08-10T02:50:17.000Z,229.99,64.98
88302,28332,2387,1,2017-04-11T02:35:32.000Z,1964.00,147.57
75167,23119,391,1,2018-03-27T13:08:28.000Z,35.00,21.43
46118,29373,1145,1,2018-06-28T09:55:17.000Z,40.00,18.38
61310,20166,453,1,2017-05-18T09:55:22.000Z,15.90,16.11
32083,24768,2984,1,2018-08-24T13:49:32.000Z,15.00,12.79
32083,24768,2984,2,2018-08-24T13:49:32.000Z,15.00,12.79
21796,6635,2172,1,2018-07-13T10:05:09.000Z,48.59,16.53
5729,26606,1219,1,2017-11-30T00:19:39.000Z,35.00,7.78
68276,2944,1414,1,2017-12-06T23:51:25.000Z,56.99,11.90
3253,21970,333,1,2018-01-12T12:27:42.000Z,13.65,14.10
30760,2546,277,1,2017-11-02T22:32:57.000Z,65.00,17.70
92165,24854,436,1,2018-05-18T17:38:07.000Z,142.90,23.58
66827,24389,2344,1,2018-05-10T18:35:25.000Z,35.00,31.00
84261,23299,366,1,2018-04-13T13:10:11.000Z,690.00,93.28
93798,6639,1556,1,2018-03-21T12:50:55.000Z,59.50,12.86
67477,1538,2210,1,2018-02-20T02:32:08.000Z,250.00,16.59
67477,28954,2210,2,2018-02-20T02:32:08.000Z,270.00,16.59
67477,32866,2210,3,2018-02-20T02:32:08.000Z,270.00,16.59
6161,19773,1414,1,2018-07-26T20:35:14.000Z,44.99,12.44
6161,2944,1414,2,2018-07-26T20:35:14.000Z,49.99,2.74
15302,8887,2959,1,2018-08-20T04:55:25.000Z,64.00,18.55
86864,27422,3061,1,2017-09-21T09:30:28.000Z,119.99,25.68
36469,15755,1268,1,2018-03-14T13:05:48.000Z,24.99,18.96
36469,17868,1268,2,2018-03-14T13:05:48.000Z,11.99,2.11
46910,1941,2346,1,2017-12-07T10:18:22.000Z,79.00,17.80
75622,26340,20,1,2018-08-28T20:24:10.000Z,17.50,8.29
63054,14980,644,1,2018-05-10T13:15:25.000Z,37.49,7.87
96811,21572,2584,1,2017-05-18T20:15:09.000Z,139.90,21.47
38478,18593,2854,1,2018-02-26T19:28:32.000Z,39.90,18.89
45708,8665,2909,1,2017-11-29T23:31:44.000Z,29.00,15.10
14408,4512,1561,1,2017-09-06T02:35:21.000Z,41.90,17.92
72768,7963,1392,1,2017-10-18T11:27:26.000Z,38.00,8.72
72768,7963,1392,2,2017-10-18T11:27:26.000Z,38.00,8.72
72768,7963,1392,3,2017-10-18T11:27:26.000Z,38.00,8.72
81281,14529,394,1,2017-06-19T22:15:13.000Z,19.99,12.69
1186,7660,1293,1,2018-02-07T02:52:22.000Z,105.00,14.34
62530,14610,502,1,2018-03-01T13:55:28.000Z,44.70,49.09
93824,32915,127,1,2017-11-29T23:59:10.000Z,187.43,17.75
90597,3275,2207,1,2017-03-23T14:10:47.000Z,39.99,10.96
65610,17704,69,1,2017-10-30T21:28:09.000Z,179.99,16.01
20720,5038,342,1,2017-08-03T15:05:17.000Z,29.00,8.72
30970,16751,1183,1,2018-04-13T14:10:13.000Z,139.94,23.70
45021,18312,28,1,2018-08-06T12:31:09.000Z,14.00,8.29
24754,10675,1885,1,2018-07-13T19:06:02.000Z,105.00,36.19
91507,24306,295,1,2018-08-28T10:50:20.000Z,64.90,18.55
15098,7372,2659,1,2018-08-07T12:15:23.000Z,199.99,86.61
69724,19543,35,1,2017-09-01T03:10:20.000Z,99.90,17.14
38006,9587,2394,1,2017-05-23T22:35:16.000Z,85.99,16.04
78594,13421,69,1,2017-10-13T13:44:49.000Z,185.99,16.06
34840,14192,2747,1,2017-11-30T11:53:24.000Z,249.99,78.77
4774,22114,1954,1,2018-05-22T18:59:00.000Z,49.49,7.39
74595,32475,2967,1,2018-04-06T15:31:04.000Z,289.90,20.11
62355,203,2486,1,2018-03-29T21:50:32.000Z,43.99,13.47
32198,6869,2938,1,2017-10-09T22:03:56.000Z,209.99,12.67
56515,10044,1439,1,2018-05-17T18:49:55.000Z,179.90,39.87
86890,12057,72,1,2017-04-11T02:42:40.000Z,34.99,10.96
70729,15911,1980,1,2017-04-27T13:45:17.000Z,49.80,14.11
95825,16071,1391,1,2018-01-16T03:33:29.000Z,69.90,11.99
19608,31198,1814,1,2017-07-13T22:23:38.000Z,150.00,9.86
32257,30104,2002,1,2017-03-17T07:53:57.000Z,23.90,14.11
60370,5339,1748,1,2018-08-07T17:04:04.000Z,22.90,18.26
80856,26823,632,1,2018-04-04T19:55:11.000Z,118.75,26.91
89883,17749,2824,1,2018-03-26T11:08:10.000Z,12.00,15.23
19387,32029,426,1,2018-08-01T05:35:11.000Z,89.00,18.72
6095,25053,2442,1,2018-02-21T21:46:57.000Z,89.70,15.38
22057,15769,2851,1,2017-03-15T14:39:28.000Z,98.90,21.14
39966,29605,2664,1,2017-12-06T22:36:54.000Z,29.90,11.85
20815,22737,2464,1,2017-11-01T14:49:15.000Z,176.75,61.98
51327,25865,756,1,2018-03-22T10:49:00.000Z,89.90,18.51
12600,5464,174,1,2018-02-14T07:49:54.000Z,30.50,7.78
3808,23331,1460,1,2018-03-25T23:50:27.000Z,139.90,64.41
2251,17255,1266,1,2017-12-07T11:38:06.000Z,30.90,15.10
25795,30234,1331,1,2017-07-12T21:22:57.000Z,58.55,25.25
55955,13168,2530,1,2018-05-22T03:56:23.000Z,29.90,8.29
28003,13440,976,1,2017-12-27T11:50:44.000Z,138.00,9.78
70548,29651,512,1,2016-10-15T11:02:22.000Z,17.80,14.12
