SK_ORDER,DES_PAYMENT_TYPE,QTT_INSTALLMENT,VAL_PAYMENT
75269,credit_card,8,99.33
98161,credit_card,1,24.39
43930,credit_card,1,65.71
64933,credit_card,8,107.78
12703,credit_card,2,128.45
9432,credit_card,2,96.12
77993,credit_card,1,81.16
57204,credit_card,3,51.84
90162,credit_card,6,341.09
26050,boleto,1,51.95
42221,credit_card,8,188.73
51143,credit_card,1,141.90
54659,credit_card,1,75.78
15599,credit_card,5,102.66
21639,credit_card,4,105.28
16687,credit_card,10,157.45
7849,credit_card,1,132.04
10267,credit_card,1,98.94
56185,credit_card,4,244.15
32919,credit_card,3,136.71
89803,credit_card,4,47.69
76166,credit_card,2,170.57
85633,credit_card,4,67.50
80063,credit_card,10,353.09
49021,boleto,1,330.66
55503,voucher,1,45.17
24866,credit_card,2,541.00
74397,credit_card,2,139.22
35697,credit_card,2,290.16
4167,boleto,1,283.34
64398,credit_card,1,13.78
75959,credit_card,1,30.28
1233,credit_card,1,26.58
66612,credit_card,1,89.68
45876,credit_card,1,65.09
83139,credit_card,1,173.84
97577,credit_card,1,103.49
50127,credit_card,1,64.03
85299,credit_card,3,157.15
98019,boleto,1,130.88
32173,credit_card,2,47.72
90526,credit_card,8,117.74
91879,boleto,1,56.60
67308,credit_card,1,266.16
51040,boleto,1,31.38
81326,credit_card,1,121.49
32724,credit_card,1,32.00
29092,credit_card,5,153.41
44657,credit_card,5,65.71
7712,credit_card,4,278.22
64914,credit_card,4,91.66
71994,credit_card,1,132.51
53456,credit_card,4,542.66
8963,boleto,1,166.04
81603,boleto,1,368.98
77241,credit_card,2,113.20
7668,credit_card,3,99.43
8743,credit_card,2,27.35
5809,credit_card,4,43.77
63871,credit_card,2,68.49
81025,credit_card,2,105.53
98917,credit_card,8,387.80
14430,boleto,1,84.14
19638,credit_card,4,210.82
40351,boleto,1,90.05
36665,credit_card,1,67.88
34163,credit_card,2,37.58
93677,boleto,1,89.63
10457,voucher,1,69.46
90787,credit_card,2,78.30
40583,voucher,1,50.80
23682,credit_card,1,34.00
18965,boleto,1,77.10
78700,credit_card,5,566.40
73721,credit_card,8,402.42
70589,voucher,1,57.53
98468,credit_card,3,44.01
75047,credit_card,3,187.51
16165,credit_card,3,77.70
45150,credit_card,1,48.68
56560,credit_card,1,77.29
45545,credit_card,8,117.71
91944,credit_card,3,169.34
76970,credit_card,1,37.61
15321,credit_card,1,13.80
19153,debit_card,1,227.12
26541,credit_card,3,34.78
27437,credit_card,10,342.56
24546,credit_card,7,73.34
92882,credit_card,4,117.85
81006,credit_card,1,48.62
19462,credit_card,1,53.99
44101,credit_card,1,51.14
51350,credit_card,2,121.45
33131,credit_card,1,73.34
82261,credit_card,10,117.68
82969,credit_card,1,56.77
9151,credit_card,2,115.59
59830,credit_card,6,60.07
27457,credit_card,1,27.27
4729,boleto,1,32.15
3857,credit_card,3,195.71
80259,voucher,1,43.12
54781,credit_card,1,88.49
78663,credit_card,3,34.09
45712,credit_card,1,40.99
65941,credit_card,3,71.99
73226,boleto,1,47.00
71777,credit_card,3,81.78
4301,credit_card,3,231.45
91979,credit_card,7,144.20
25502,debit_card,1,35.14
50505,credit_card,10,285.79
44967,credit_card,2,176.70
72940,credit_card,2,27.63
11663,credit_card,8,134.56
67460,credit_card,4,96.98
68480,credit_card,2,110.03
77721,credit_card,1,17.78
26379,credit_card,1,44.00
77147,credit_card,4,110.11
2824,voucher,1,22.49
77597,credit_card,4,46.63
59703,boleto,1,52.21
19644,credit_card,2,61.77
18500,boleto,1,121.88
50393,credit_card,1,75.75
16477,credit_card,1,130.22
25668,credit_card,3,57.53
19701,credit_card,7,76.02
51116,boleto,1,90.17
66571,credit_card,1,31.00
94166,credit_card,10,106.77
24269,voucher,1,163.25
3106,boleto,1,233.66
30046,credit_card,1,163.08
76418,credit_card,4,135.93
36489,credit_card,1,267.05
48769,credit_card,7,186.72
52676,voucher,1,30.00
42768,credit_card,4,97.28
82226,credit_card,1,48.61
47266,boleto,1,116.70
20839,credit_card,1,41.42
64982,boleto,1,42.19
64388,credit_card,6,125.53
91185,credit_card,5,92.76
84991,credit_card,8,348.02
58801,credit_card,2,203.30
97563,credit_card,3,44.35
84670,credit_card,10,116.05
69459,boleto,1,85.14
6545,credit_card,4,236.66
30381,credit_card,4,220.30
93643,credit_card,1,180.55
93286,boleto,1,45.46
45366,boleto,1,26.08
59346,credit_card,1,375.74
12892,credit_card,5,123.41
13065,credit_card,10,379.07
37942,credit_card,10,2027.16
98703,credit_card,1,45.50
66707,credit_card,1,91.17
46455,boleto,1,93.26
4005,voucher,1,30.00
58972,credit_card,10,165.96
92452,voucher,1,50.00
96701,credit_card,10,1002.73
88634,boleto,1,116.56
65807,credit_card,2,240.52
3620,credit_card,3,33.13
40616,credit_card,1,213.90
2783,credit_card,8,362.17
31679,credit_card,2,88.72
87416,credit_card,2,46.85
26895,boleto,1,68.54
36957,boleto,1,32.62
1273,credit_card,8,340.08
56971,boleto,1,82.06
35233,credit_card,1,40.95
12081,credit_card,3,67.01
84705,voucher,1,20.00
52384,voucher,1,76.90
35441,credit_card,4,40.27
11244,credit_card,8,242.10
82926,boleto,1,207.24
46670,credit_card,2,215.56
44782,credit_card,1,39.92
91003,credit_card,8,156.09
28984,credit_card,2,131.50
79410,boleto,1,137.73
4216,credit_card,1,31.75
97307,credit_card,8,348.77
15288,credit_card,1,12.22
58485,credit_card,4,139.87
41374,credit_card,12,257.10
27075,credit_card,3,269.46
8336,credit_card,1,40.00
52174,credit_card,10,350.09
11937,credit_card,6,134.55
76119,credit_card,3,112.73
85109,boleto,1,72.05
71821,credit_card,1,0.67
84267,credit_card,2,77.77
63712,credit_card,2,26.68
37745,credit_card,1,371.42
10287,credit_card,6,225.71
56617,credit_card,3,103.79
11427,boleto,1,65.00
88250,voucher,1,69.80
97583,voucher,1,20.09
52254,credit_card,1,125.41
90036,boleto,1,95.99
80918,credit_card,2,25.33
42075,credit_card,1,52.57
60747,credit_card,2,145.58
63943,credit_card,3,49.70
20462,credit_card,1,47.43
55186,credit_card,2,168.57
93334,credit_card,1,133.81
55011,voucher,1,1.23
64194,boleto,1,123.82
72973,credit_card,3,283.66
41171,credit_card,1,89.88
65177,boleto,1,32.38
41736,credit_card,1,43.08
4059,credit_card,1,254.58
319,voucher,1,48.91
14128,credit_card,4,48.22
45499,credit_card,6,67.58
90101,credit_card,10,311.18
1592,credit_card,4,154.14
80752,credit_card,2,333.68
46326,boleto,1,404.88
25405,boleto,1,44.77
38688,voucher,1,1302.42
22441,credit_card,10,645.80
59295,credit_card,1,186.39
16290,credit_card,10,208.41
29324,debit_card,1,76.39
35081,credit_card,2,67.42
10231,credit_card,4,232.05
75025,boleto,1,69.33
77199,credit_card,3,641.20
63372,boleto,1,41.86
40848,voucher,1,50.00
14208,credit_card,1,106.96
15994,credit_card,10,2288.31
43863,boleto,1,69.90
48992,boleto,1,88.08
53423,credit_card,4,117.39
16419,debit_card,1,194.91
19296,debit_card,1,68.89
11409,credit_card,2,151.51
54884,credit_card,1,54.85
60068,credit_card,1,103.68
82914,debit_card,1,225.63
8868,boleto,1,39.60
6068,credit_card,10,159.18
57053,credit_card,1,234.43
88664,boleto,1,44.83
11344,credit_card,4,205.44
36503,credit_card,1,13.55
63605,credit_card,1,221.96
38527,credit_card,1,52.38
89326,credit_card,9,131.47
22324,credit_card,2,38.06
8830,voucher,1,35.00
10610,credit_card,3,143.65
71746,credit_card,3,86.73
39904,credit_card,5,118.35
58593,credit_card,1,341.58
90950,credit_card,2,105.42
23093,credit_card,4,68.16
30295,credit_card,10,357.97
31310,voucher,1,2.99
97342,boleto,1,92.57
49753,credit_card,2,68.35
66732,credit_card,13,197.23
39143,credit_card,3,153.67
94325,credit_card,3,46.43
80573,credit_card,4,102.03
67911,credit_card,5,119.45
15133,credit_card,1,44.23
98500,credit_card,1,67.50
84866,voucher,1,8.75
27631,credit_card,2,44.27
37391,credit_card,1,37.15
17704,credit_card,2,114.13
10910,credit_card,1,396.97
85632,credit_card,10,185.85
11093,credit_card,3,62.11
52938,credit_card,2,25.23
54580,credit_card,5,153.22
59095,debit_card,1,145.01
92372,boleto,1,70.89
11223,credit_card,6,114.34
95431,credit_card,2,31.38
66912,credit_card,5,256.50
4295,boleto,1,341.40
92391,credit_card,1,143.99
37187,voucher,1,84.88
97249,credit_card,8,232.27
35887,credit_card,5,194.00
32296,credit_card,1,260.57
72779,credit_card,1,49.59
76538,credit_card,3,196.55
16030,boleto,1,245.94
12713,voucher,1,72.42
11688,credit_card,2,217.15
3181,credit_card,4,152.28
25821,credit_card,3,72.34
95798,credit_card,5,128.95
67348,credit_card,1,56.85
42956,credit_card,1,20.29
39986,boleto,1,171.75
32874,credit_card,1,85.82
91603,boleto,1,56.05
84886,boleto,1,26.09
2525,credit_card,1,41.17
88861,boleto,1,37.25
56739,credit_card,5,135.13
