SK_ORDER,DES_PAYMENT_TYPE,QTT_INSTALLMENT,VAL_PAYMENT
30661,credit_card,1,371.13
85360,credit_card,2,55.11
84742,credit_card,1,165.80
65202,boleto,1,188.62
42448,credit_card,5,65.71
42761,voucher,1,48.60
32904,boleto,1,177.99
58193,credit_card,1,34.00
83818,credit_card,2,114.88
83298,credit_card,1,169.98
3123,credit_card,4,344.53
92991,credit_card,3,61.75
54997,boleto,1,32.01
86092,credit_card,3,52.10
92018,credit_card,1,22.45
14039,credit_card,2,50.34
76805,credit_card,9,111.33
99267,boleto,1,48.14
59363,credit_card,1,69.69
86133,voucher,1,4.56
67545,credit_card,1,73.49
9756,credit_card,4,175.79
64400,boleto,1,132.08
97623,credit_card,6,401.20
24329,boleto,1,47.69
40382,credit_card,3,267.51
68227,credit_card,1,200.82
35796,credit_card,1,55.28
45255,credit_card,1,53.48
15918,credit_card,1,31.77
83965,credit_card,3,225.85
92360,credit_card,2,158.36
87521,credit_card,2,388.60
81451,credit_card,1,21.43
43931,credit_card,10,818.40
74727,credit_card,3,144.76
14864,debit_card,1,99.50
5640,credit_card,10,193.90
48155,credit_card,1,73.48
97723,voucher,1,30.00
67408,credit_card,2,43.13
57078,boleto,1,130.56
33402,credit_card,3,157.22
2429,credit_card,1,27.80
91019,credit_card,3,68.35
38526,credit_card,1,33.77
54881,credit_card,1,104.37
10082,credit_card,10,128.77
69185,credit_card,3,45.09
26857,boleto,1,97.17
10342,credit_card,3,158.97
5608,credit_card,4,40.01
25292,credit_card,1,227.24
48000,credit_card,1,76.36
40118,boleto,1,79.17
59174,credit_card,1,60.00
46425,credit_card,1,84.30
23637,boleto,1,120.15
33938,credit_card,3,155.14
4166,voucher,1,53.01
97123,credit_card,1,53.59
33654,credit_card,1,78.64
63640,credit_card,10,202.50
68027,credit_card,1,17.10
99094,credit_card,10,134.94
687,credit_card,6,339.86
15201,credit_card,8,412.18
39081,credit_card,1,89.10
67899,credit_card,9,91.29
96886,credit_card,1,17.87
20977,credit_card,2,1025.24
55517,credit_card,5,50.68
25979,boleto,1,82.24
48668,credit_card,10,236.71
24823,voucher,1,142.58
41759,boleto,1,57.60
98449,credit_card,2,38.27
81809,credit_card,6,65.20
64770,credit_card,1,45.87
90384,boleto,1,30.69
51108,debit_card,1,21.79
82393,credit_card,1,55.53
32652,credit_card,2,42.68
60943,credit_card,4,71.63
5579,credit_card,8,276.57
15408,voucher,1,33.40
53898,boleto,1,112.78
96296,credit_card,2,24.84
96326,boleto,1,56.78
65882,credit_card,3,32.15
52858,credit_card,2,87.36
46763,credit_card,6,140.08
12543,credit_card,7,376.76
45626,credit_card,4,117.79
77655,credit_card,3,618.29
37060,credit_card,3,48.75
32611,credit_card,6,318.55
47767,boleto,1,48.30
99298,boleto,1,317.16
76983,credit_card,4,254.14
58660,credit_card,4,118.35
19120,credit_card,2,125.52
34364,debit_card,1,62.01
95656,credit_card,8,1388.30
89730,credit_card,1,72.15
17150,credit_card,5,265.64
44104,boleto,1,107.76
84617,credit_card,2,83.27
98628,credit_card,3,157.78
64121,credit_card,2,112.43
28014,voucher,1,270.46
78378,credit_card,1,99.52
38686,boleto,1,504.65
15883,credit_card,2,129.73
34086,boleto,1,70.72
14403,credit_card,2,102.13
81429,credit_card,10,164.40
62660,voucher,1,13.50
97225,credit_card,1,51.43
27787,credit_card,1,73.47
8733,boleto,1,106.16
98367,voucher,1,16.88
74867,credit_card,1,34.00
3262,credit_card,10,851.82
94353,credit_card,10,169.01
49281,credit_card,1,57.68
40153,credit_card,8,623.68
79662,credit_card,10,143.53
77152,credit_card,5,109.91
86137,boleto,1,116.23
40531,boleto,1,84.26
66225,boleto,1,40.00
84311,credit_card,5,116.37
95184,credit_card,4,124.62
97665,credit_card,4,89.08
89788,boleto,1,61.50
14888,credit_card,1,3.60
89592,credit_card,2,257.92
9235,credit_card,1,30.28
65077,credit_card,8,309.63
41502,credit_card,1,95.18
77401,credit_card,5,87.08
71074,credit_card,1,43.38
22627,credit_card,4,111.60
78040,credit_card,1,42.50
83712,credit_card,3,146.96
91078,boleto,1,57.51
78563,boleto,1,162.45
55781,credit_card,1,58.62
83032,credit_card,5,235.20
92052,boleto,1,33.10
56101,boleto,1,40.00
40334,credit_card,2,103.43
18933,boleto,1,64.00
73380,credit_card,1,217.10
42214,credit_card,4,48.51
81794,credit_card,2,64.00
63754,credit_card,1,74.72
62624,credit_card,3,31.05
93727,credit_card,2,213.50
64127,voucher,1,1.16
53575,credit_card,2,172.53
55838,boleto,1,149.29
93228,credit_card,4,52.22
75160,boleto,1,274.39
9116,credit_card,3,103.11
12747,credit_card,2,143.02
51500,credit_card,1,429.19
47594,boleto,1,154.08
71098,credit_card,3,38.00
59254,boleto,1,616.73
25014,boleto,1,179.05
29217,credit_card,5,170.73
91458,credit_card,3,212.73
48680,credit_card,1,2733.63
24350,credit_card,3,86.15
8238,credit_card,8,2252.66
64613,boleto,1,131.16
43811,credit_card,7,265.94
88203,credit_card,5,124.43
52461,credit_card,1,25.00
10201,credit_card,1,30.00
25819,credit_card,1,73.78
54159,credit_card,3,109.49
90626,credit_card,10,159.27
44228,voucher,1,16.48
30104,credit_card,4,73.59
39563,credit_card,3,50.17
9999,credit_card,2,63.44
96045,credit_card,6,199.51
